,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,500.0,0.004938143032084995,0.014793391318385354,-0.030466430960977592,-0.006591563517438864,0.004664760416015434,0.017471835315531082,0.03805724704856505,0.06852367800954265
avg_iris_rel_face_y_norm,500.0,-0.16730115658362685,0.0034819269922290574,-0.17443276688913964,-0.1700209399358936,-0.16761666211664877,-0.16470126733597706,-0.15250840179577382,0.021924365093365816
face_yaw,500.0,-0.014937923048825718,0.03736366416773458,-0.176718106648328,-0.0342670788304457,-0.01281638116583045,0.007879359352314399,0.1096892682725114,0.2864073749208394
face_pitch,500.0,0.04512729067669758,0.014351755507736517,0.016785770073026,0.03359384603056825,0.043733515209412696,0.054207862357713646,0.085357483802467,0.06857171372944099
face_roll,500.0,0.02811797623093209,0.025198632146206473,8.447742446941387e-05,0.011002951913784625,0.0250675663218365,0.036440612497736974,0.1918389377836838,0.1917544603592144
yaw_avg_iris_x_interaction,500.0,5.3523839808900226e-05,0.0006261018001608465,-0.0037804049570651943,-0.00011816640558040855,4.2022074766807436e-05,0.0003121925754701428,0.0033577708588362508,0.0071381758159014454
pitch_avg_iris_y_interaction,500.0,-0.007528514689928004,0.0023215415532214603,-0.013725035266996628,-0.009049211008760709,-0.007403326232952597,-0.005670810236800609,-0.0028354614878884593,0.010889573779108168
roll_avg_iris_x_interaction,500.0,0.00013829845932805817,0.0006193153596486813,-0.0017512814331571806,-8.495163474026596e-05,7.267151711642315e-05,0.0003281977443596321,0.004919671947705669,0.006670953380862849
roll_avg_iris_y_interaction,500.0,-0.004717761900644969,0.004218826173422318,-0.03118196803094431,-0.0061291992501743674,-0.004245251020641881,-0.0018526759432423337,-1.4047892707564678e-05,0.031167920138236747
yaw_squared,500.0,0.0016163928582518135,0.0039562174946524194,1.539711604423729e-09,0.0001235818552283576,0.0005297092837479387,0.001355001409372553,0.031229289217369824,0.03122928767765822
pitch_squared,500.0,0.002242033304200694,0.0014061660291930292,0.0002817620769444953,0.001128548759319539,0.001912620353184418,0.0029385056499986414,0.007285900041088415,0.00700413796414392
roll_squared,500.0,0.0014243217072390125,0.0037671753923469295,7.136435244985524e-09,0.00012106497278333607,0.0006283829179514455,0.001327918258861557,0.0368021780499721,0.03680217091353685
avg_iris_rel_face_x_norm_squared,500.0,0.00024279199445081105,0.0002694946814996456,7.916478404452398e-10,2.976712417551827e-05,0.00013294592957890705,0.00038954342839441804,0.0014483540529155131,0.0014483532612676727
avg_iris_rel_face_y_norm_squared,500.0,0.02800177656216728,0.0011590274640900086,0.023258812618301188,0.02712650748269614,0.02809534546645897,0.02890712055789445,0.03042679016460093,0.0071679775462997405
